date,cases,country
19-02-20,0,United States of America
18-02-20,0,United States of America
17-02-20,0,United States of America
16-02-20,0,United States of America
15-02-20,0,United States of America
14-02-20,1,United States of America
13-02-20,1,United States of America
12-02-20,0,United States of America
11-02-20,1,United States of America
10-02-20,0,United States of America
09-02-20,0,United States of America
08-02-20,0,United States of America
07-02-20,0,United States of America
06-02-20,1,United States of America
05-02-20,0,United States of America
04-02-20,0,United States of America
03-02-20,3,United States of America
02-02-20,1,United States of America
01-02-20,1,United States of America
31-01-20,1,United States of America
30-01-20,0,United States of America
29-01-20,0,United States of America
28-01-20,0,United States of America
27-01-20,3,United States of America
26-01-20,0,United States of America
25-01-20,1,United States of America
24-01-20,0,United States of America
23-01-20,0,United States of America
22-01-20,0,United States of America
21-01-20,1,United States of America
20-01-20,0,United States of America
19-01-20,0,United States of America
18-01-20,0,United States of America
17-01-20,0,United States of America
16-01-20,0,United States of America
15-01-20,0,United States of America
14-01-20,0,United States of America
13-01-20,0,United States of America
12-01-20,0,United States of America
11-01-20,0,United States of America
10-01-20,0,United States of America
09-01-20,0,United States of America
08-01-20,0,United States of America
07-01-20,0,United States of America
06-01-20,0,United States of America
05-01-20,0,United States of America
04-01-20,0,United States of America
03-01-20,0,United States of America
02-01-20,0,United States of America
01-01-20,0,United States of America
31-12-19,0,United States of America
